"hhid","feed_Chickens","feed_Cattle","irrigation","drought","flood","extension_training","animal_ded_area","rice","fhh","covid_shock","ag_comm"
"HID111180",NA,1,1,0,0,NA,0,1,0,1,2
"HID111186",1,NA,1,0,0,NA,0,1,1,1,2
"HID111523",2,NA,1,0,0,NA,1,1,0,1,2
"HID111575",NA,1,1,0,0,NA,1,1,1,1,2
"HID111586",1,NA,1,0,0,NA,1,1,1,1,2
"HID111662",2,NA,0,1,0,NA,1,0,0,1,2
"HID111726",1,1,1,0,1,NA,1,1,0,1,2
"HID111789",NA,NA,1,0,0,NA,0,1,1,1,2
"HID111850",1,NA,NA,0,0,NA,1,0,1,1,2
"HID111866",NA,1,0,0,0,NA,0,1,0,2,2
"HID111879",NA,1,1,1,0,NA,0,1,0,2,2
"HID111887",2,NA,1,0,0,NA,1,1,1,1,2
"HID111919",2,1,1,0,1,NA,1,1,0,1,2
"HID111925",2,NA,1,0,0,0,0,0,0,1,2
"HID112103",1,1,1,1,0,NA,0,1,1,1,2
"HID112120",NA,1,0,0,0,NA,1,1,0,2,2
"HID112239",2,NA,NA,0,0,NA,1,0,0,1,2
"HID112311",1,NA,1,0,0,NA,1,1,1,1,2
"HID112337",2,1,1,0,1,NA,1,1,0,1,2
"HID112407",1,1,1,0,0,NA,1,1,0,1,2
"HID112659",1,NA,NA,0,0,NA,1,0,0,1,2
"HID112680",1,NA,1,0,0,NA,1,1,0,1,2
"HID112704",NA,1,0,1,0,NA,0,1,1,1,2
"HID112759",2,2,1,0,0,NA,1,0,0,1,2
"HID112777",2,1,0,0,0,NA,1,1,0,1,2
"HID112791",1,NA,0,1,0,NA,1,1,0,2,2
"HID112863",2,NA,1,0,0,NA,1,1,0,1,2
"HID112887",1,NA,1,0,0,NA,0,0,0,1,2
"HID112889",NA,1,NA,0,0,NA,1,0,1,1,2
"HID112894",1,NA,0,0,0,NA,0,1,0,1,2
"HID113294",NA,1,0,0,0,NA,1,1,0,1,2
"HID113423",NA,1,0,0,0,NA,1,1,1,1,2
"HID113435",1,NA,0,1,0,NA,0,1,0,2,2
"HID113504",2,NA,NA,0,0,NA,1,0,0,1,2
"HID113609",1,NA,1,0,0,NA,0,0,1,1,2
"HID113648",1,NA,0,0,1,NA,0,1,1,1,2
"HID113672",2,1,1,0,0,NA,1,1,0,1,2
"HID113809",1,NA,NA,0,0,NA,0,0,1,1,2
"HID113897",NA,NA,1,0,0,NA,0,1,1,1,2
"HID113917",NA,NA,1,0,0,NA,0,0,0,1,2
"HID113940",NA,1,1,0,0,NA,0,1,0,1,2
"HID113941",NA,1,1,0,0,NA,1,1,1,1,2
"HID113953",1,NA,1,1,0,NA,1,1,1,1,2
"HID113982",2,1,1,0,1,NA,1,1,1,1,2
"HID114049",2,NA,1,0,0,NA,0,1,0,1,2
"HID114062",1,NA,1,0,0,NA,0,1,0,1,2
"HID114330",1,1,NA,0,0,NA,0,0,1,1,2
"HID114358",NA,1,1,0,0,NA,0,1,0,1,2
"HID114430",1,1,1,0,0,NA,0,1,0,1,2
"HID114473",1,NA,1,0,0,NA,1,1,0,1,2
"HID114648",2,NA,1,0,0,NA,1,1,1,2,2
"HID114696",1,NA,1,0,0,NA,1,1,1,1,2
"HID114776",1,NA,1,0,0,NA,0,0,0,1,2
"HID115211",1,1,1,0,0,NA,0,0,1,1,2
"HID115229",2,1,1,0,0,NA,0,1,0,1,2
"HID115231",1,1,1,0,0,NA,1,1,0,1,2
"HID115233",1,NA,NA,0,0,NA,1,0,1,1,2
"HID115254",2,1,1,0,0,NA,1,1,1,1,2
"HID115447",1,NA,1,0,0,NA,0,0,0,1,2
"HID115466",1,1,1,0,0,NA,1,1,0,1,2
"HID115589",1,NA,1,0,0,NA,0,1,1,1,2
"HID115624",NA,1,1,0,1,NA,1,0,0,1,2
"HID115693",2,NA,1,0,1,NA,1,1,1,2,2
"HID115723",NA,1,1,0,0,NA,0,0,0,1,2
"HID115993",2,2,1,0,0,NA,1,1,0,2,2
"HID116013",1,NA,0,0,0,NA,1,1,0,1,2
"HID116062",1,NA,1,0,0,NA,0,1,0,1,2
"HID116138",1,1,1,0,0,NA,1,1,0,1,2
"HID116154",1,1,1,0,0,NA,0,1,0,2,2
"HID116252",1,NA,1,0,0,NA,0,1,0,1,2
"HID116291",2,NA,1,0,0,NA,1,1,0,2,2
"HID116508",2,1,1,0,0,NA,0,1,0,1,2
"HID116686",NA,1,0,0,0,NA,1,1,0,1,2
"HID116727",1,NA,1,1,0,NA,0,1,0,1,2
"HID116742",2,NA,1,0,0,NA,1,0,1,1,2
"HID116940",2,NA,NA,0,0,NA,1,0,1,1,2
"HID116999",2,NA,0,0,0,NA,1,1,0,1,2
"HID117332",1,NA,1,0,0,NA,0,1,1,1,2
"HID117496",1,1,0,0,0,NA,1,1,1,1,2
"HID117571",1,1,1,0,0,NA,1,1,0,2,2
"HID117583",1,1,1,0,0,NA,1,1,0,1,2
"HID117645",1,NA,1,0,0,NA,1,1,1,1,2
"HID117661",2,NA,1,0,0,NA,1,0,0,1,2
"HID117737",1,NA,1,0,0,NA,1,0,1,1,2
"HID117739",1,NA,1,1,0,NA,1,1,0,1,2
"HID117762",NA,1,1,0,0,NA,0,1,1,1,2
"HID117917",2,NA,1,0,0,NA,1,0,0,1,2
"HID118098",NA,1,1,0,0,NA,0,1,0,1,2
"HID118239",2,NA,1,0,0,NA,1,1,0,1,2
"HID118274",2,1,1,0,0,NA,1,1,1,1,2
"HID118295",1,2,0,0,0,NA,1,1,0,2,2
"HID118345",1,1,1,1,0,NA,0,1,1,1,2
"HID118450",NA,1,1,1,0,NA,0,1,0,1,2
"HID118559",2,1,1,1,0,NA,0,1,0,1,2
"HID118706",NA,1,0,0,0,NA,1,0,1,1,2
"HID118765",2,NA,0,0,0,NA,1,1,0,2,2
"HID118955",2,1,1,0,0,NA,1,1,1,2,2
"HID119020",1,1,1,0,0,NA,1,1,1,1,2
"HID119047",NA,1,0,0,0,NA,1,0,0,1,2
"HID119075",2,NA,1,0,0,NA,1,0,1,1,2
"HID119164",1,1,0,0,0,NA,0,0,0,2,2
"HID119175",3,NA,0,0,0,NA,1,0,0,1,2
"HID119193",NA,1,1,0,0,NA,0,1,0,1,2
"HID119211",NA,1,1,0,0,NA,0,1,0,1,2
"HID119310",1,1,1,0,0,NA,1,1,1,1,2
"HID119629",1,1,1,0,0,NA,1,1,0,2,2
"HID119754",2,NA,1,1,0,NA,0,0,0,1,2
"HID119789",2,1,1,0,1,NA,1,1,0,1,2
"HID119834",NA,1,1,0,0,NA,1,1,0,1,2
"HID119952",2,NA,1,0,0,NA,0,0,1,1,2
"HID119987",2,NA,1,0,0,NA,1,1,0,1,2
"HID120275",NA,1,1,1,0,NA,0,1,0,1,2
"HID120319",1,NA,1,0,0,NA,1,1,0,1,2
"HID120393",1,NA,0,0,0,NA,1,1,0,1,2
"HID120588",1,NA,0,0,0,NA,0,1,0,1,2
"HID120639",2,NA,1,0,0,NA,1,1,0,2,2
"HID120777",1,NA,1,0,0,NA,1,0,0,1,2
"HID120868",NA,1,NA,0,0,NA,1,0,0,1,2
"HID120917",1,NA,1,0,0,NA,1,0,0,1,2
"HID121044",1,NA,1,0,0,NA,1,1,1,1,2
"HID121087",1,NA,1,0,0,NA,0,1,0,1,2
"HID121148",1,1,1,0,1,NA,1,1,0,1,2
"HID121157",2,1,1,0,0,NA,1,1,0,1,2
"HID121249",NA,1,1,0,0,NA,0,1,0,1,2
"HID121390",1,NA,1,1,1,NA,1,1,1,1,2
"HID121420",1,NA,1,0,0,NA,1,1,1,1,2
"HID121498",1,NA,NA,0,0,NA,1,0,1,1,2
"HID121529",NA,1,1,0,0,NA,1,1,0,1,2
"HID121576",NA,NA,NA,0,0,NA,0,0,0,1,2
"HID121641",1,NA,0,0,0,NA,0,1,1,1,2
"HID121646",1,1,1,0,0,NA,1,1,0,1,2
"HID121731",1,NA,NA,0,0,NA,1,0,0,1,2
"HID121747",1,NA,1,0,0,NA,1,1,0,1,2
"HID121938",2,NA,1,0,0,NA,1,1,0,1,2
"HID121965",2,NA,1,0,1,NA,1,1,0,1,2
"HID122000",1,NA,1,0,0,NA,1,1,0,1,2
"HID122009",1,NA,1,0,0,NA,0,1,1,1,2
"HID122041",2,1,1,0,1,NA,1,0,0,2,2
"HID122177",2,NA,1,0,0,NA,1,1,0,1,2
"HID122206",2,NA,1,0,0,NA,0,1,0,1,2
"HID122284",1,1,1,0,0,NA,1,1,0,1,2
"HID122524",NA,1,0,0,0,NA,0,1,0,1,2
"HID122625",NA,NA,NA,0,0,NA,0,0,0,1,2
"HID122640",NA,1,0,0,0,NA,0,0,0,1,2
"HID122642",NA,1,1,0,0,NA,1,1,1,1,2
"HID122780",2,2,1,0,0,NA,0,1,0,1,2
"HID122860",NA,1,1,0,0,NA,1,1,0,1,2
"HID122897",1,NA,1,0,1,NA,0,1,0,1,1
"HID123076",2,NA,1,0,0,NA,0,0,0,1,2
"HID123113",2,NA,NA,0,0,NA,0,0,1,1,2
"HID123310",NA,1,1,0,0,NA,1,1,0,1,2
"HID123378",1,NA,NA,0,0,NA,1,0,0,1,2
"HID123549",1,NA,1,0,0,NA,1,1,1,1,2
"HID123603",1,NA,1,0,0,NA,1,1,0,1,2
"HID123641",1,1,1,0,0,NA,1,1,0,1,2
"HID123645",1,NA,1,0,0,NA,1,1,1,1,2
"HID123650",2,1,1,0,0,NA,0,1,1,1,2
"HID123684",1,NA,1,0,0,NA,1,0,1,1,2
"HID123782",1,NA,1,1,1,NA,1,1,1,2,2
"HID123950",1,NA,1,0,0,NA,1,1,0,1,2
"HID124206",1,1,1,0,1,NA,1,1,0,1,2
"HID124291",NA,1,0,0,0,NA,1,1,1,1,2
"HID124300",1,1,1,1,0,NA,1,1,1,2,2
"HID124374",1,1,1,0,0,NA,0,1,0,1,2
"HID124711",NA,NA,1,0,1,NA,1,1,0,1,2
"HID124719",NA,1,1,0,0,NA,0,1,0,2,2
"HID124741",NA,1,1,0,1,NA,1,0,1,1,2
"HID124746",NA,1,1,1,0,NA,1,1,1,1,2
"HID124774",1,NA,1,0,0,NA,0,0,1,1,2
"HID124859",1,1,0,0,0,NA,1,1,0,1,2
"HID125041",NA,1,1,0,1,NA,1,1,0,1,2
"HID125146",1,1,1,0,0,NA,0,1,1,1,2
"HID125199",1,1,1,0,0,NA,1,1,1,1,2
"HID125228",NA,1,1,1,0,NA,0,1,1,1,2
"HID125229",1,1,0,0,0,NA,1,1,0,1,2
"HID125283",NA,1,1,0,0,NA,1,1,0,2,2
"HID125414",1,1,1,0,0,NA,1,1,1,1,2
"HID125542",NA,1,1,0,0,NA,1,0,0,1,2
"HID125588",2,NA,NA,0,0,NA,1,0,1,1,2
"HID125768",2,NA,1,0,0,NA,1,1,0,2,1
"HID125818",2,NA,1,0,0,NA,1,1,1,1,2
"HID125985",2,NA,NA,0,0,NA,1,0,1,1,2
"HID126016",NA,1,0,0,1,NA,1,1,1,1,2
"HID126107",NA,1,1,0,0,NA,1,1,0,1,2
"HID126131",1,1,1,0,0,NA,1,1,0,1,2
"HID126208",1,1,0,0,0,NA,1,1,1,1,2
"HID126250",1,1,1,0,0,NA,1,0,1,1,2
"HID126360",NA,NA,0,0,0,NA,1,1,1,1,2
"HID126399",1,NA,1,0,1,NA,1,0,1,1,2
"HID126605",NA,1,1,0,0,NA,0,1,0,1,2
"HID126617",1,1,1,0,0,NA,1,1,0,1,2
"HID126622",1,1,1,0,0,NA,0,1,0,1,2
"HID126771",1,NA,1,0,1,NA,0,1,1,1,2
"HID126789",1,NA,0,0,0,NA,0,1,0,1,2
"HID126797",1,NA,1,0,0,NA,1,1,0,1,2
"HID126842",1,1,1,0,0,NA,1,1,0,1,2
"HID126852",NA,1,1,0,0,NA,0,1,1,1,2
"HID126885",1,NA,1,0,1,NA,1,1,0,2,2
"HID127369",1,2,1,0,0,NA,1,1,0,1,2
"HID127497",1,NA,0,0,0,NA,0,1,0,1,2
"HID127505",2,NA,1,0,0,NA,0,0,0,1,2
"HID127531",1,1,1,1,0,NA,1,1,0,1,2
"HID127743",NA,1,1,0,0,NA,0,1,1,1,2
"HID127758",1,NA,1,0,0,NA,0,0,0,1,2
"HID127963",NA,1,1,0,0,NA,1,1,0,1,2
"HID127983",1,1,1,0,0,NA,1,1,1,1,2
"HID128059",2,NA,1,0,0,NA,0,1,0,1,2
"HID128105",1,1,1,0,0,NA,1,1,0,1,2
"HID128167",1,1,1,0,0,NA,1,1,1,1,2
"HID128225",1,1,1,0,0,NA,1,1,0,1,2
"HID128235",2,NA,1,0,0,NA,1,0,1,1,2
"HID128321",1,NA,1,0,0,NA,1,0,0,1,2
"HID128324",2,2,1,0,0,NA,0,1,1,1,2
"HID128344",NA,1,1,0,0,NA,1,0,0,1,2
"HID128395",1,1,1,1,1,NA,1,1,0,1,2
"HID128529",2,1,1,0,1,NA,1,1,0,1,2
"HID128614",2,NA,1,0,0,NA,0,1,0,1,2
"HID128663",NA,1,0,0,0,NA,1,1,0,1,2
"HID128773",1,NA,NA,0,0,NA,1,0,1,1,2
"HID129085",2,NA,1,0,0,NA,1,1,0,1,2
"HID129229",1,NA,NA,0,0,NA,1,0,1,1,2
"HID129388",NA,1,1,1,0,NA,1,1,1,1,2
"HID129456",1,1,0,0,0,NA,1,1,0,1,2
"HID129673",1,1,1,1,0,NA,1,1,0,1,2
"HID129705",1,1,NA,0,0,NA,0,0,1,1,2
"HID129722",NA,1,1,0,0,NA,1,0,0,1,2
"HID129755",1,NA,1,1,0,NA,1,1,0,1,2
"HID129769",2,NA,1,0,0,NA,0,0,1,1,2
"HID129993",NA,1,NA,0,0,NA,0,0,0,1,2
"HID130005",2,NA,1,0,1,NA,0,1,0,1,2
"HID130073",NA,1,0,1,0,NA,0,1,0,1,2
"HID130103",2,NA,0,0,0,NA,1,0,0,1,2
"HID130165",1,NA,1,1,0,NA,1,1,1,1,2
"HID130530",2,NA,1,0,0,NA,1,0,1,1,2
"HID130541",2,NA,1,0,0,NA,1,0,1,1,2
"HID130572",1,NA,1,0,0,NA,1,0,0,2,2
"HID130589",1,NA,1,0,0,NA,1,1,1,1,2
"HID130781",NA,1,1,1,0,NA,1,1,0,2,2
"HID130829",NA,1,1,0,0,NA,1,0,0,1,2
"HID130830",1,NA,1,0,0,NA,1,1,1,1,2
"HID130872",1,NA,1,0,0,NA,0,1,0,1,2
"HID130882",NA,NA,NA,0,0,NA,1,0,0,1,2
"HID130916",2,1,1,0,0,NA,1,1,0,1,2
"HID130924",2,NA,1,0,0,NA,0,1,0,1,2
"HID131015",2,NA,1,1,0,NA,0,1,1,1,2
"HID131099",NA,1,NA,0,0,NA,1,0,0,1,2
"HID131272",2,NA,1,0,0,NA,0,1,1,1,2
"HID131428",1,NA,1,0,0,NA,1,0,0,1,2
"HID131534",1,1,1,0,0,NA,1,1,1,1,2
"HID131596",1,NA,1,0,0,NA,0,1,1,1,2
"HID131605",NA,1,1,0,1,NA,0,1,0,1,2
"HID131638",1,NA,NA,0,0,NA,0,0,0,1,2
"HID131678",1,1,1,0,0,NA,1,1,0,1,2
"HID131833",2,NA,1,0,0,NA,0,0,1,1,2
"HID131851",2,NA,NA,0,0,NA,0,0,0,1,2
"HID131853",1,NA,1,0,1,NA,1,1,0,2,2
"HID131917",NA,NA,1,0,0,NA,1,0,0,1,2
"HID131951",NA,1,1,0,0,NA,1,1,1,1,2
"HID132011",NA,1,0,0,0,NA,0,1,0,1,2
"HID132131",1,NA,1,0,0,NA,1,1,0,1,2
"HID132171",1,1,1,1,0,NA,1,1,1,2,2
"HID132217",2,1,1,0,1,NA,0,1,0,1,2
"HID132475",2,NA,1,0,0,NA,1,1,1,1,2
"HID132606",NA,1,0,0,0,NA,1,1,1,1,2
"HID132619",1,1,1,0,0,NA,1,1,0,1,2
"HID133327",2,1,1,0,0,NA,0,1,0,1,2
"HID133352",1,1,1,0,0,NA,0,1,1,1,2
"HID133380",1,2,1,0,0,NA,1,1,1,1,2
"HID133773",1,NA,1,0,0,NA,0,1,0,1,2
"HID133778",1,NA,1,0,0,NA,0,1,1,1,2
"HID133877",1,NA,1,0,0,NA,1,1,0,1,1
"HID133951",2,NA,1,0,1,NA,1,1,0,1,2
"HID134333",2,2,1,0,0,NA,1,1,0,1,2
"HID134379",2,NA,1,0,0,NA,1,0,0,1,2
"HID134380",NA,1,0,1,0,NA,0,1,0,2,2
"HID134524",2,NA,1,0,0,NA,1,1,0,1,2
"HID134529",1,NA,NA,0,0,NA,1,0,0,1,2
"HID134559",1,NA,1,0,0,NA,0,1,1,1,2
"HID134618",1,NA,1,0,0,NA,1,1,1,1,2
"HID134729",NA,1,1,0,0,NA,1,1,0,1,2
"HID134746",NA,1,1,0,0,NA,1,1,0,2,2
"HID134793",2,1,1,0,0,NA,1,1,0,1,2
"HID134855",1,1,1,0,0,NA,0,1,0,1,2
"HID134879",2,NA,1,0,0,NA,0,0,0,1,2
"HID134881",1,NA,1,0,0,NA,1,1,1,1,2
"HID135113",NA,1,1,0,1,NA,0,1,0,1,2
"HID135272",1,1,NA,0,0,NA,1,0,0,1,2
"HID135347",NA,1,0,0,0,NA,1,1,1,2,2
"HID135375",1,1,1,1,0,NA,1,1,0,1,2
"HID135385",2,NA,1,0,0,NA,0,1,1,1,2
"HID135391",1,NA,1,0,0,NA,1,0,0,1,2
"HID135500",NA,1,1,0,0,NA,1,1,0,1,2
"HID135824",2,1,1,0,0,NA,1,1,0,1,2
"HID135845",2,1,1,1,0,NA,1,1,1,1,2
"HID135899",NA,NA,1,0,0,NA,0,1,0,1,2
"HID136070",2,NA,0,0,0,NA,1,1,1,1,2
"HID136154",1,1,1,0,0,NA,1,1,1,1,2
"HID136188",NA,1,0,0,1,NA,1,1,1,1,2
"HID136324",1,NA,NA,0,0,NA,1,0,0,1,2
"HID136423",2,1,1,0,0,NA,1,1,0,1,2
"HID136544",NA,1,1,1,0,NA,1,1,0,1,2
"HID136546",1,NA,NA,0,0,NA,0,0,0,1,2
"HID136853",2,2,1,0,0,NA,1,1,0,1,2
"HID136917",2,NA,0,0,0,NA,1,0,0,1,2
"HID136996",2,1,1,1,0,NA,1,1,1,2,2
"HID137021",1,NA,1,0,0,NA,1,1,1,1,2
"HID137022",2,2,1,0,0,NA,1,1,0,1,2
"HID137028",1,NA,1,0,0,NA,1,1,0,1,2
"HID137041",NA,1,1,1,0,NA,0,1,0,1,2
"HID137062",NA,1,0,0,0,NA,1,1,0,2,2
"HID137117",1,NA,1,1,0,NA,0,1,0,1,2
"HID137192",1,NA,1,0,0,NA,1,0,0,1,2
"HID137198",2,NA,0,0,0,NA,1,1,0,1,2
"HID137244",2,NA,1,0,0,NA,0,0,0,1,2
"HID137252",2,NA,1,0,0,NA,1,0,1,1,2
"HID137337",1,NA,0,0,0,NA,0,0,0,1,2
"HID137453",1,NA,1,0,0,NA,1,1,0,1,2
"HID137475",1,NA,1,0,0,NA,1,0,0,1,2
"HID137717",NA,1,1,0,0,NA,0,1,0,1,2
"HID137961",2,1,1,0,0,NA,1,1,0,1,2
"HID138162",2,NA,1,0,0,NA,1,1,1,1,2
"HID138193",2,NA,0,0,0,NA,1,0,0,1,2
"HID138279",2,NA,1,0,0,NA,0,0,0,1,2
