"hhid","province","raised_Poultry","raised_cattle_buffalo","raised_Livestock","raised_Livestock_Poultry","ag_area","ag_hh","zone","fhh","edu_hh","edu_hh_head","covid_shock","ag_comm","ag_assoc","ag_comm_assoc","animal_area","animal_ded_area","homelot_area","parcel_area","holding_area","animal_area_rate","rice","rice_harv_sold_pct","sold_rice","rice_area_agland_pct","rice_area_total_pct","rice_price_impt","value_rice_prod","rice_price","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price","animal_disease","irrigation","drought","flood","ag_extension_training","family_hours","family_full_days","family_work_days"
"HID102342",13,1,0,0,1,15.0212,1,"Mountain",0,2,2,0,0,0,0,0.0012000000569969,1,0.0372,NA,0.0372,0.032258067,0,NA,NA,NA,NA,0,NA,NA,1,1.5,15,1000,0,500,0.5,1,0.99858868,403.2258,0,4000000,4000,0,0,0,0,0,2848,356,376
"HID102398",4,1,0,0,1,2.4235,1,"Tonle Sap",0,3,2,1,0,0,0,0.010499999858439,1,0.21,2.41,2.6199999,0.0040076338,1,0.43478259,1,0.66020221,0.61068708,0,34500000,750,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,1534,191.75,313
"HID102464",6,1,0,0,1,0.5168,1,"Tonle Sap",0,1,1,0,0,0,0,0.0017999999690801,1,0.077,NA,0.077,0.023376623,1,0,0,0.96749228,6.4935064,1,900000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,0,0,40,5,30
"HID102469",14,1,1,1,1,0.6,1,"Plain",1,1,1,0,0,0,0,0.0199999995529652,1,0.26,0.5,0.75999999,0.02631579,1,0,0,0.83333331,0.65789473,1,2604000,930,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,1,0,456,57,138
"HID102510",16,1,1,1,1,3.0004,1,"Mountain",0,0,0,1,0,0,0,0.0003999999898952,1,0.005,3,3.0050001,0.00013311148,0,NA,NA,NA,NA,0,NA,NA,1,3,3,5000,0,2500,0.5,1,0.99986666,0.99833608,0,17500000,3500,1,0,0,0,0,1178,147.25,314
"HID102593",12,NA,NA,NA,NA,0.1,1,"Phnom Penh",0,2,1,0,0,0,0,NA,0,0.007,0.08,0.086999997,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,1440,180,360
"HID102658",7,1,1,1,1,0.3087,1,"Coastal",0,1,1,0,0,0,0,0.0037000000011176,1,0.02,0.2,0.22,0.016818183,1,0,0,0.97181731,1.3636364,1,1530000,1020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,3254,406.75,1087
"HID102760",1,1,0,0,1,0.1666,1,"Tonle Sap",0,2,1,1,0,0,0,0.0015999999595806,1,0.02,0.48,0.5,0.0031999999,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,92,11.5,32
"HID102780",25,1,1,1,1,3.51,1,"Plain",0,3,1,0,0,0,0,0.0049999998882413,1,0.03,3.5,3.53,0.0014164306,0,NA,NA,NA,NA,0,NA,NA,1,1.5,1.5,1500,0,750,0.5,1,0.42735043,0.42492917,0,6000000,4000,0,0,0,1,0,3934,491.75,618
"HID102869",8,1,1,1,1,0.664,1,"Plain",0,2,1,0,0,0,0,0.0040000001899898,1,0.011,0.66,0.671,0.0059612519,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,2250,281.25,450
"HID102900",3,1,0,0,1,0.5015,1,"Plain",1,2,1,0,0,0,0,0.0003000000142492,1,0.426,0.5,0.926,0.00032397409,1,0,0,0.59820539,0.32397407,1,1134000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,1179,147.375,187
"HID102936",14,1,1,1,1,1.0846,1,"Plain",0,2,1,0,0,0,0,0.0006000000284985,1,0.1,0.98,1.08,0.00055555557,1,0.15151516,1,0.99575883,0.99999994,0,5973000,905,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,27,3.375,27
"HID103054",2,1,0,1,1,1.2055,1,"Tonle Sap",0,2,2,0,0,0,0,0.0049999998882413,1,0.126,1.2,1.326,0.0037707391,1,0.31481481,1,0.99543756,0.90497738,0,5940000,1100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,980,122.5,175
"HID103069",3,1,1,1,1,0.731,1,"Plain",1,2,1,0,0,0,0,0.100000001490116,1,0.2,0.53,0.73000002,0.1369863,1,0.33333334,1,0.8618331,0.86301368,0,5400000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,696,87,174
"HID103072",6,1,1,1,1,2.3094,1,"Tonle Sap",0,1,1,0,0,0,0,0.0013999999500811,1,0.4,2.008,2.408,0.00058139535,1,0.46258503,1,0.96691781,0.92732561,0,5512500,750,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,2290,286.25,340
"HID103155",5,1,1,1,1,2.27,1,"Mountain",0,2,1,0,0,0,0,0.0199999995529652,1,0.12,1.2,1.3200001,0.015151515,1,0.2,1,0.969163,1.6666666,0,11000000,1100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,600,75,120
"HID103168",17,1,1,1,1,0.1272,1,"Tonle Sap",1,2,1,1,0,0,0,0.0071999998763204,1,0.18,0.06,0.24000001,0.029999997,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,1824,228,456
"HID103184",7,NA,NA,NA,NA,0.485,1,"Coastal",0,2,1,1,0,0,0,NA,0,0.015,0.485,0.5,NA,1,0,0,1,0.97000003,1,1836000,1020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,240,30,60
"HID103193",10,1,1,1,1,4.046,1,"Mountain",0,2,2,0,1,1,1,0.0060000000521541,1,0.055,NA,0.055,0.10909091,1,0.30000001,1,0.98863077,72.727272,0,14000000,1400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,0,1,1,4800,600,600
"HID103228",6,1,1,1,1,1.7506,1,"Tonle Sap",1,1,0,0,0,0,0,0.0006000000284985,1,0.077,4,4.0770001,0.00014716704,1,0,0,0.39986292,0.17169487,1,1080000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,1656,207,516
"HID103377",1,1,0,0,1,16.6622,1,"Tonle Sap",0,2,1,0,0,0,0,0.0012000000569969,1,0.0525,NA,0.052499998,0.022857144,1,0.36000001,1,0.75020105,238.09525,0,45000000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,0,0,3190,398.75,420
"HID103410",7,1,0,1,1,3.0005,1,"Coastal",0,3,2,0,0,0,0,NA,0,0.04375,3,3.04375,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,2520,315,840
"HID103456",16,1,0,0,1,6.0016,1,"Mountain",0,1,1,0,0,0,0,0.0015999999595806,1,0.0735,6,6.0735002,0.00026343952,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,5280,660,660
"HID103520",1,1,0,0,1,8.5133,1,"Tonle Sap",0,1,1,0,0,0,0,0.0108000002801418,1,0.1125,8.5,8.6125002,0.0012539913,1,0,0,0.46985304,0.46444121,1,2700000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,0,1,3629,453.625,485
"HID103658",14,1,1,1,1,0.8702,1,"Plain",0,2,1,0,0,0,0,0.0071999998763204,1,0.153,0.7,0.85299999,0.0084407972,1,0,0,0.80441278,0.82063305,1,3534000,930,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,0,1,0,440,55,110
"HID103695",11,1,1,1,1,2.203,1,"Mountain",0,1,0,0,1,0,1,0.003000000026077,1,0.21,2.1,2.3099999,0.0012987014,1,0,0,0.68088967,0.64935064,1,6800000,850,1,0,0.3,0,NA,NA,NA,NA,0.13617794,0.12987013,0,NA,NA,1,0,0,0,1,2040,255,255
"HID103705",17,1,1,1,1,1.1206,1,"Tonle Sap",0,2,0,0,0,0,0,0.0006000000284985,1,0.175,1,1.175,0.00051063835,1,NA,NA,0.89237911,0.85106385,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,2312,289,407
"HID103754",4,1,0,0,1,2.4035,1,"Tonle Sap",0,2,2,0,0,0,0,0.0015000000130385,1,0.238,NA,0.23800001,0.0063025211,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,840,105,210
"HID103871",5,1,1,1,1,0.3002,1,"Mountain",0,1,1,0,0,0,0,0.0001999999949476,1,0.003,0.3,0.303,0.00066006597,1,0,0,0.9993338,0.99009901,1,1760000,1100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,72,9,36
"HID103888",10,1,0,0,1,8.11,1,"Mountain",0,2,2,0,0,0,0,0.0099999997764826,1,0.13,8,8.1300001,0.0012300123,1,0.41666666,1,0.3699137,0.36900368,0,12000000,1000,1,0,5,0,NA,NA,NA,NA,0.61652279,0.61500615,0,NA,NA,0,1,0,0,1,2400,300,300
"HID104066",7,1,1,1,1,0.2642,1,"Coastal",0,2,2,0,0,0,0,0.006699999794364,1,0.055,0.25,0.30500001,0.021967212,1,0,0,0.94625282,0.81967211,1,1122000,1020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,1440,180,360
"HID104070",17,1,0,0,1,0.601,1,"Tonle Sap",0,2,2,0,0,0,0,0.0010000000474975,1,0.2,NA,0.2,0.0050000004,1,0,0,0.83194673,2.5,1,2850000,950,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,3192,399,456
"HID104121",7,NA,NA,NA,NA,0.1043,1,"Coastal",1,1,1,0,0,0,0,NA,0,0.105,NA,0.105,NA,1,0,0,0.95877278,0.95238096,1,448800,1020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,132,16.5,48
"HID104134",14,1,0,0,1,1.0815,1,"Plain",0,2,2,0,0,0,0,0.0015000000130385,1,0.105,1.07,1.175,0.0012765958,1,0.15555556,1,0.98936659,0.91063833,0,4500000,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,256,32,256
"HID104161",2,1,0,0,1,30.322,1,"Tonle Sap",0,2,1,1,0,0,0,0.0020000000949949,1,0.5,20,20.5,9.756098e-05,1,0.4375,1,0.59362841,0.87804878,0,128000000,800,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,0,0,0,480,60,120
"HID104276",21,NA,NA,NA,NA,0.13,1,"Plain",0,0,NA,0,0,0,0,NA,0,0.048,NA,0.048,NA,1,0,0,0.76923078,2.0833333,1,223200,930,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,40,5,25
"HID104427",14,1,1,1,1,0.2737,1,"Plain",0,2,2,0,0,0,0,0.0012000000569969,1,0.036,0.27,0.30599999,0.0039215689,1,0.44999999,1,0.98648155,0.88235295,0,5940000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,504,63,168
"HID104451",2,NA,NA,NA,NA,1,1,"Tonle Sap",1,0,0,1,0,0,0,NA,0,0.15,NA,0.15000001,NA,1,0,0,1,6.6666665,1,2700000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0
"HID104460",25,1,1,1,1,0.4032,1,"Plain",1,0,0,0,0,0,0,0.0006000000284985,1,0.0144,NA,0.0144,0.041666668,1,0,0,0.99206346,27.777779,1,1900000,950,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,1888,236,382
"HID104658",10,1,1,1,1,1.051,1,"Mountain",0,2,2,0,0,0,0,0.700500011444092,1,0.0315,1.05,1.0815001,0.64771152,1,0,0,0.66603237,0.64724916,1,3300000,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,1,0,0,1260,157.5,210
"HID104683",22,1,0,0,1,0.8043,1,"Tonle Sap",1,2,0,0,0,0,0,0.0017999999690801,1,0.12,0.8,0.92000002,0.0019565218,1,0,0,0.99465376,0.86956519,1,1020000,850,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,1,0,618,77.25,150
"HID104701",14,1,0,0,1,7.001,1,"Plain",1,2,1,0,0,0,0,NA,0,0.12,7,7.1199999,NA,1,0,0,0.99985719,0.98314607,1,65100000,930,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,840,105,120
"HID104736",1,1,0,0,1,2.865,1,"Tonle Sap",0,3,1,0,0,0,0,NA,0,0.12,2.86,2.98,NA,1,0,0,0.87260038,0.8389262,1,3240000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,0,0,2520,315,720
"HID104757",21,1,0,0,1,1.2062,1,"Plain",1,2,1,0,0,0,0,0.0012000000569969,1,0.084,1.2,1.284,0.00093457947,1,0.35714287,1,0.99485987,0.93457943,0,7700000,1100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,3216,402,864
"HID104838",21,1,0,0,1,0.3284,1,"Plain",0,2,2,0,0,0,0,0.0024000001139939,1,0.2784,0.25,0.5284,0.0045420136,1,0,0,0.76126677,0.47312641,1,1116000,930,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,2260,282.5,340
"HID104888",17,1,0,0,1,0.024,1,"Tonle Sap",0,1,1,0,0,0,0,0.0020000000949949,1,0.03,NA,0.029999999,0.06666667,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,628,78.5,326
"HID104976",10,1,0,0,1,17.02,1,"Mountain",0,2,1,0,0,0,0,0.0199999995529652,1,1.05,NA,1.05,0.01904762,0,NA,NA,NA,NA,0,NA,NA,1,0,16,0,NA,NA,NA,NA,0.94007051,15.238096,0,NA,NA,0,1,0,0,1,2400,300,300
"HID105056",2,NA,NA,NA,NA,0.24,1,"Tonle Sap",0,3,2,0,0,0,0,NA,0,0.5,NA,0.5,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,1,1,421,52.625,85
"HID105088",5,1,0,0,1,0.905,1,"Mountain",0,2,1,0,0,0,0,0.0049999998882413,1,0.02,0.9,0.92000002,0.0054347822,1,0.25,1,0.99447513,0.97826087,0,8800000,1100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,840,105,150
"HID105089",21,NA,NA,NA,NA,0.4,1,"Plain",0,2,2,0,0,0,0,NA,0,0.01,NA,0.0099999998,NA,1,0,0,1,40,1,1488000,930,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,36,4.5,18
"HID105223",12,1,0,0,1,0.0254,1,"Phnom Penh",0,2,0,0,0,0,0,0.0001999999949476,1,0.78,NA,0.77999997,0.00025641025,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,2160,270,720
"HID105238",10,1,0,0,1,0.0012,1,"Mountain",0,2,2,0,0,0,0,0.0001999999949476,1,0.0208,NA,0.0208,0.009615384,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,140,17.5,30
"HID105396",3,NA,NA,NA,NA,1.5006,1,"Plain",0,1,0,0,0,0,0,NA,0,0.045,2,2.0450001,NA,1,0.11607143,1,0.99960017,0.73349631,0,8960000,800,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,24,3,12
"HID105421",25,NA,NA,NA,NA,0.202,1,"Plain",0,2,1,0,0,0,0,NA,0,0.0675,0.2,0.26750001,NA,1,0.25,1,0.99009901,0.7476635,0,1080000,900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,180,22.5,45
"HID105463",8,1,0,0,1,0.255,1,"Plain",0,2,1,0,0,0,0,0.0020000000949949,1,0.01,0.25,0.25999999,0.0076923082,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,6900,862.5,820
"HID105512",10,1,1,1,1,0.04185,1,"Mountain",0,2,1,0,0,0,0,0.0003999999898952,1,0.04725,NA,0.047249999,0.0084656086,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,1596,199.5,479
